sample,percentile,Ts_tcrbeta,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
D7C,1.0,0.0,0.0,0.0,146,5252
D7C,1.0,0.0,1.0,0.0,146,5252
D7C,1.0,0.0,2.0,0.0,146,5252
D7C,1.0,0.0,3.0,0.0,146,5252
D7C,1.0,0.0,4.0,0.0,146,5252
D7C,1.0,0.0,5.0,0.0,146,5252
D7C,0.995,0.0,0.0,0.0,146,5252
D7C,0.995,0.0,1.0,0.0,146,5252
D7C,0.995,0.0,2.0,0.0,146,5252
D7C,0.995,0.0,3.0,0.0,146,5252
D7C,0.995,0.0,4.0,0.0,146,5252
D7C,0.995,0.0,5.0,0.0,146,5252
D7C,0.99,0.0,0.0,0.0,146,5252
D7C,0.99,0.0,1.0,0.0,146,5252
D7C,0.99,0.0,2.0,0.0,146,5252
D7C,0.99,0.0,3.0,0.0,146,5252
D7C,0.99,0.0,4.0,0.0,146,5252
D7C,0.99,0.0,5.0,0.0,146,5252
D7C,0.985,1.0,0.0,0.00986003988290332,143,5175
D7C,0.985,1.0,1.0,0.00818981802159803,143,5175
D7C,0.985,1.0,2.0,0.007148623548656051,143,5175
D7C,0.985,1.0,3.0,0.006561870330000779,143,5175
D7C,0.985,1.0,4.0,0.006202015990460283,143,5175
D7C,0.985,1.0,5.0,0.005962962565568217,143,5175
D7C,0.98,1.0,0.0,0.00986003988290332,143,5175
D7C,0.98,1.0,1.0,0.00818981802159803,143,5175
D7C,0.98,1.0,2.0,0.007148623548656051,143,5175
D7C,0.98,1.0,3.0,0.006561870330000779,143,5175
D7C,0.98,1.0,4.0,0.006202015990460283,143,5175
D7C,0.98,1.0,5.0,0.005962962565568217,143,5175
D7C,0.975,1.0,0.0,0.00986003988290332,143,5175
D7C,0.975,1.0,1.0,0.00818981802159803,143,5175
D7C,0.975,1.0,2.0,0.007148623548656051,143,5175
D7C,0.975,1.0,3.0,0.006561870330000779,143,5175
D7C,0.975,1.0,4.0,0.006202015990460283,143,5175
D7C,0.975,1.0,5.0,0.005962962565568217,143,5175
D7C,0.97,1.0,0.0,0.00986003988290332,143,5175
D7C,0.97,1.0,1.0,0.00818981802159803,143,5175
D7C,0.97,1.0,2.0,0.007148623548656051,143,5175
D7C,0.97,1.0,3.0,0.006561870330000779,143,5175
D7C,0.97,1.0,4.0,0.006202015990460283,143,5175
D7C,0.97,1.0,5.0,0.005962962565568217,143,5175
D7C,0.965,1.0,0.0,0.00986003988290332,143,5175
D7C,0.965,1.0,1.0,0.00818981802159803,143,5175
D7C,0.965,1.0,2.0,0.007148623548656051,143,5175
D7C,0.965,1.0,3.0,0.006561870330000779,143,5175
D7C,0.965,1.0,4.0,0.006202015990460283,143,5175
D7C,0.965,1.0,5.0,0.005962962565568217,143,5175
D7C,0.96,2.0,0.0,0.02649009452440816,142,5058
D7C,0.96,2.0,1.0,0.02192172767878196,142,5058
D7C,0.96,2.0,2.0,0.019284023593772036,142,5058
D7C,0.96,2.0,3.0,0.017856792968232147,142,5058
D7C,0.96,2.0,4.0,0.01699366665430592,142,5058
D7C,0.96,2.0,5.0,0.016419335044055204,142,5058
D7C,0.955,2.0,0.0,0.02649009452440816,142,5058
D7C,0.955,2.0,1.0,0.02192172767878196,142,5058
D7C,0.955,2.0,2.0,0.019284023593772036,142,5058
D7C,0.955,2.0,3.0,0.017856792968232147,142,5058
D7C,0.955,2.0,4.0,0.01699366665430592,142,5058
D7C,0.955,2.0,5.0,0.016419335044055204,142,5058
D7C,0.95,2.0,0.0,0.02649009452440816,142,5058
D7C,0.95,2.0,1.0,0.02192172767878196,142,5058
D7C,0.95,2.0,2.0,0.019284023593772036,142,5058
D7C,0.95,2.0,3.0,0.017856792968232147,142,5058
D7C,0.95,2.0,4.0,0.01699366665430592,142,5058
D7C,0.95,2.0,5.0,0.016419335044055204,142,5058
D7C,0.945,2.0,0.0,0.02649009452440816,142,5058
D7C,0.945,2.0,1.0,0.02192172767878196,142,5058
D7C,0.945,2.0,2.0,0.019284023593772036,142,5058
D7C,0.945,2.0,3.0,0.017856792968232147,142,5058
D7C,0.945,2.0,4.0,0.01699366665430592,142,5058
D7C,0.945,2.0,5.0,0.016419335044055204,142,5058
D7C,0.94,2.0,0.0,0.02649009452440816,142,5058
D7C,0.94,2.0,1.0,0.02192172767878196,142,5058
D7C,0.94,2.0,2.0,0.019284023593772036,142,5058
D7C,0.94,2.0,3.0,0.017856792968232147,142,5058
D7C,0.94,2.0,4.0,0.01699366665430592,142,5058
D7C,0.94,2.0,5.0,0.016419335044055204,142,5058
D7C,0.935,2.0,0.0,0.02649009452440816,142,5058
D7C,0.935,2.0,1.0,0.02192172767878196,142,5058
D7C,0.935,2.0,2.0,0.019284023593772036,142,5058
D7C,0.935,2.0,3.0,0.017856792968232147,142,5058
D7C,0.935,2.0,4.0,0.01699366665430592,142,5058
D7C,0.935,2.0,5.0,0.016419335044055204,142,5058
D7C,0.9299999999999999,2.0,0.0,0.02649009452440816,142,5058
D7C,0.9299999999999999,2.0,1.0,0.02192172767878196,142,5058
D7C,0.9299999999999999,2.0,2.0,0.019284023593772036,142,5058
D7C,0.9299999999999999,2.0,3.0,0.017856792968232147,142,5058
D7C,0.9299999999999999,2.0,4.0,0.01699366665430592,142,5058
D7C,0.9299999999999999,2.0,5.0,0.016419335044055204,142,5058
D7C,0.925,3.0,0.0,0.03480818622292869,140,4883
D7C,0.925,3.0,1.0,0.027617866356184628,140,4883
D7C,0.925,3.0,2.0,0.024343222574418722,140,4883
D7C,0.925,3.0,3.0,0.022658231995292738,140,4883
D7C,0.925,3.0,4.0,0.02159343557910297,140,4883
D7C,0.925,3.0,5.0,0.020853849137903585,140,4883
D7C,0.92,3.0,0.0,0.03480818622292869,140,4883
D7C,0.92,3.0,1.0,0.027617866356184628,140,4883
D7C,0.92,3.0,2.0,0.024343222574418722,140,4883
D7C,0.92,3.0,3.0,0.022658231995292738,140,4883
D7C,0.92,3.0,4.0,0.02159343557910297,140,4883
D7C,0.92,3.0,5.0,0.020853849137903585,140,4883
D7C,0.915,3.0,0.0,0.03480818622292869,140,4883
D7C,0.915,3.0,1.0,0.027617866356184628,140,4883
D7C,0.915,3.0,2.0,0.024343222574418722,140,4883
D7C,0.915,3.0,3.0,0.022658231995292738,140,4883
D7C,0.915,3.0,4.0,0.02159343557910297,140,4883
D7C,0.915,3.0,5.0,0.020853849137903585,140,4883
D7C,0.91,3.0,0.0,0.03480818622292869,140,4883
D7C,0.91,3.0,1.0,0.027617866356184628,140,4883
D7C,0.91,3.0,2.0,0.024343222574418722,140,4883
