percentile,thresh_tcrbeta,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
1.0,0.0,294,100.0,20,20,20,0.0,0.0,0.0,0.0
0.995,0.0,294,100.0,20,20,20,0.0,0.0,0.0,0.0
0.99,0.0,294,100.0,20,20,20,0.0,0.0,0.0,0.0
0.985,0.6950000000000038,289,98.29931972789116,20,20,20,0.0,0.0,0.001554961305108149,0.0009866556312954438
0.98,1.0,289,98.29931972789116,20,20,20,0.0,0.0,0.001554961305108149,0.0009866556312954438
0.975,1.0,289,98.29931972789116,20,20,20,0.0,0.0,0.001554961305108149,0.0009866556312954438
0.97,1.0,289,98.29931972789116,20,20,20,0.0,0.0,0.001554961305108149,0.0009866556312954438
0.965,1.0,289,98.29931972789116,20,20,20,0.0,0.0,0.001554961305108149,0.0009866556312954438
0.96,1.0,289,98.29931972789116,20,20,20,0.0,0.0,0.001554961305108149,0.0009866556312954438
0.955,1.0850000000000133,279,94.89795918367346,20,20,20,0.0,0.0,0.004829221940251349,0.011094186468575535
0.95,2.0,279,94.89795918367346,20,20,20,0.0,0.0,0.004829221940251349,0.011094186468575535
0.945,2.0,279,94.89795918367346,20,20,20,0.0,0.0,0.004829221940251349,0.011094186468575535
0.94,2.0,279,94.89795918367346,20,20,20,0.0,0.0,0.004829221940251349,0.011094186468575535
0.935,2.0,279,94.89795918367346,20,20,20,0.0,0.0,0.004829221940251349,0.011094186468575535
0.9299999999999999,2.0,279,94.89795918367346,20,20,20,0.0,0.0,0.004829221940251349,0.011094186468575535
0.925,2.0,279,94.89795918367346,20,20,20,0.0,0.0,0.004829221940251349,0.011094186468575535
0.92,2.0,279,94.89795918367346,20,20,20,0.0,0.0,0.004829221940251349,0.011094186468575535
0.915,2.6049999999999898,267,90.81632653061224,20,20,20,0.0056974630577067975,0.08869516545207735,0.004457233523481508,0.014791871077089245
0.91,3.0,267,90.81632653061224,20,20,20,0.0056974630577067975,0.08869516545207735,0.004457233523481508,0.014791871077089245
