sample,percentile,thresh_tcrbeta,alpha,mean_entropy_change,n_common_clonotypes_ge5,n_cells_after
D7C,1.0,0.0,0.0,0.0,20,294
D7C,1.0,0.0,1.0,0.0,20,294
D7C,1.0,0.0,2.0,0.0,20,294
D7C,1.0,0.0,5.0,0.0,20,294
D7C,0.995,0.0,0.0,0.0,20,294
D7C,0.995,0.0,1.0,0.0,20,294
D7C,0.995,0.0,2.0,0.0,20,294
D7C,0.995,0.0,5.0,0.0,20,294
D7C,0.99,0.0,0.0,0.0,20,294
D7C,0.99,0.0,1.0,0.0,20,294
D7C,0.99,0.0,2.0,0.0,20,294
D7C,0.99,0.0,5.0,0.0,20,294
D7C,0.985,0.6950000000000038,0.0,0.0017515280985054948,20,289
D7C,0.985,0.6950000000000038,1.0,0.001554961305108149,20,289
D7C,0.985,0.6950000000000038,2.0,0.0012767710677477283,20,289
D7C,0.985,0.6950000000000038,5.0,0.0006643205142760622,20,289
D7C,0.98,1.0,0.0,0.0017515280985054948,20,289
D7C,0.98,1.0,1.0,0.001554961305108149,20,289
D7C,0.98,1.0,2.0,0.0012767710677477283,20,289
D7C,0.98,1.0,5.0,0.0006643205142760622,20,289
D7C,0.975,1.0,0.0,0.0017515280985054948,20,289
D7C,0.975,1.0,1.0,0.001554961305108149,20,289
D7C,0.975,1.0,2.0,0.0012767710677477283,20,289
D7C,0.975,1.0,5.0,0.0006643205142760622,20,289
D7C,0.97,1.0,0.0,0.0017515280985054948,20,289
D7C,0.97,1.0,1.0,0.001554961305108149,20,289
D7C,0.97,1.0,2.0,0.0012767710677477283,20,289
D7C,0.97,1.0,5.0,0.0006643205142760622,20,289
D7C,0.965,1.0,0.0,0.0017515280985054948,20,289
D7C,0.965,1.0,1.0,0.001554961305108149,20,289
D7C,0.965,1.0,2.0,0.0012767710677477283,20,289
D7C,0.965,1.0,5.0,0.0006643205142760622,20,289
D7C,0.96,1.0,0.0,0.0017515280985054948,20,289
D7C,0.96,1.0,1.0,0.001554961305108149,20,289
D7C,0.96,1.0,2.0,0.0012767710677477283,20,289
D7C,0.96,1.0,5.0,0.0006643205142760622,20,289
D7C,0.955,1.0850000000000133,0.0,0.009176626405134865,19,279
D7C,0.955,1.0850000000000133,1.0,0.006845800302980262,19,279
D7C,0.955,1.0850000000000133,2.0,0.005529891103714636,19,279
D7C,0.955,1.0850000000000133,5.0,0.004021856486337601,19,279
D7C,0.95,2.0,0.0,0.009176626405134865,19,279
D7C,0.95,2.0,1.0,0.006845800302980262,19,279
D7C,0.95,2.0,2.0,0.005529891103714636,19,279
D7C,0.95,2.0,5.0,0.004021856486337601,19,279
D7C,0.945,2.0,0.0,0.009176626405134865,19,279
D7C,0.945,2.0,1.0,0.006845800302980262,19,279
D7C,0.945,2.0,2.0,0.005529891103714636,19,279
D7C,0.945,2.0,5.0,0.004021856486337601,19,279
D7C,0.94,2.0,0.0,0.009176626405134865,19,279
D7C,0.94,2.0,1.0,0.006845800302980262,19,279
D7C,0.94,2.0,2.0,0.005529891103714636,19,279
D7C,0.94,2.0,5.0,0.004021856486337601,19,279
D7C,0.935,2.0,0.0,0.009176626405134865,19,279
D7C,0.935,2.0,1.0,0.006845800302980262,19,279
D7C,0.935,2.0,2.0,0.005529891103714636,19,279
D7C,0.935,2.0,5.0,0.004021856486337601,19,279
D7C,0.9299999999999999,2.0,0.0,0.009176626405134865,19,279
D7C,0.9299999999999999,2.0,1.0,0.006845800302980262,19,279
D7C,0.9299999999999999,2.0,2.0,0.005529891103714636,19,279
D7C,0.9299999999999999,2.0,5.0,0.004021856486337601,19,279
D7C,0.925,2.0,0.0,0.009176626405134865,19,279
D7C,0.925,2.0,1.0,0.006845800302980262,19,279
D7C,0.925,2.0,2.0,0.005529891103714636,19,279
D7C,0.925,2.0,5.0,0.004021856486337601,19,279
D7C,0.92,2.0,0.0,0.009176626405134865,19,279
D7C,0.92,2.0,1.0,0.006845800302980262,19,279
D7C,0.92,2.0,2.0,0.005529891103714636,19,279
D7C,0.92,2.0,5.0,0.004021856486337601,19,279
D7C,0.915,2.6049999999999898,0.0,0.014795567666104436,19,267
D7C,0.915,2.6049999999999898,1.0,0.006454233548485692,19,267
D7C,0.915,2.6049999999999898,2.0,0.001992031516439721,19,267
D7C,0.915,2.6049999999999898,5.0,-0.001893655834189165,19,267
D7C,0.91,3.0,0.0,0.014795567666104436,19,267
D7C,0.91,3.0,1.0,0.006454233548485692,19,267
D7C,0.91,3.0,2.0,0.001992031516439721,19,267
D7C,0.91,3.0,5.0,-0.001893655834189165,19,267
D7C,0.905,3.0,0.0,0.014795567666104436,19,267
D7C,0.905,3.0,1.0,0.006454233548485692,19,267
D7C,0.905,3.0,2.0,0.001992031516439721,19,267
D7C,0.905,3.0,5.0,-0.001893655834189165,19,267
D7C,0.9,3.0,0.0,0.014795567666104436,19,267
D7C,0.9,3.0,1.0,0.006454233548485692,19,267
D7C,0.9,3.0,2.0,0.001992031516439721,19,267
D7C,0.9,3.0,5.0,-0.001893655834189165,19,267
D7C,0.895,3.0,0.0,0.014795567666104436,19,267
D7C,0.895,3.0,1.0,0.006454233548485692,19,267
D7C,0.895,3.0,2.0,0.001992031516439721,19,267
D7C,0.895,3.0,5.0,-0.001893655834189165,19,267
D7C,0.89,3.0,0.0,0.014795567666104436,19,267
D7C,0.89,3.0,1.0,0.006454233548485692,19,267
D7C,0.89,3.0,2.0,0.001992031516439721,19,267
D7C,0.89,3.0,5.0,-0.001893655834189165,19,267
D7C,0.885,3.0,0.0,0.014795567666104436,19,267
D7C,0.885,3.0,1.0,0.006454233548485692,19,267
D7C,0.885,3.0,2.0,0.001992031516439721,19,267
D7C,0.885,3.0,5.0,-0.001893655834189165,19,267
D7C,0.88,4.0,0.0,0.025346405507770738,18,257
D7C,0.88,4.0,1.0,0.013299340168124217,18,257
