,percentile,thresh_ly49c,n_cells,pct_cells_retained,n_clonotypes_baseline_ge5,n_clonotypes_filtered_retained,n_common_clonotypes_retained,median_cosine_dist,median_l1_dist,mean_entropy_change,mean_coherence_change
0,1.0,48.0,2113,100.0,118,118,118,0.0,0.0,0.0,0.0
1,0.995,20.88000000000011,2102,99.47941315664931,118,118,118,0.0,0.0,-0.005073884386480211,-0.0009632177936110914
2,0.99,14.0,2092,99.00615238996687,118,118,118,0.0,0.0,-0.008832404474906002,-0.0020095288941567135
3,0.985,11.0,2083,98.58021769995267,118,118,118,0.0,0.0,-0.009305252488680391,-0.0017169040169767113
4,0.98,9.0,2072,98.05963085660198,118,118,118,0.0,0.0,-0.014107698405991907,-0.001946210837141004
5,0.975,8.199999999999818,2060,97.49171793658306,118,118,118,0.0,0.0,-0.018672182254943756,-0.0023341788871482634
6,0.97,8.0,2060,97.49171793658306,118,118,118,0.0,0.0,-0.018672182254943756,-0.0023341788871482634
7,0.965,7.0,2048,96.92380501656413,118,118,118,0.0,0.0,-0.022524633135602143,-0.003152645491753399
8,0.96,6.0,2033,96.21391386654047,118,118,118,0.0,0.0,-0.023249966675544922,-0.00369311454497156
9,0.955,6.0,2033,96.21391386654047,118,118,118,0.0,0.0,-0.023249966675544922,-0.00369311454497156
10,0.95,6.0,2033,96.21391386654047,118,118,118,0.0,0.0,-0.023249966675544922,-0.00369311454497156
11,0.945,5.0,2001,94.69947941315665,118,118,118,2.4355891990179845e-05,0.005219342625526341,-0.03192154993657776,-0.0029467453979077885
12,0.94,5.0,2001,94.69947941315665,118,118,118,2.4355891990179845e-05,0.005219342625526341,-0.03192154993657776,-0.0029467453979077885
13,0.935,5.0,2001,94.69947941315665,118,118,118,2.4355891990179845e-05,0.005219342625526341,-0.03192154993657776,-0.0029467453979077885
14,0.9299999999999999,5.0,2001,94.69947941315665,118,118,118,2.4355891990179845e-05,0.005219342625526341,-0.03192154993657776,-0.0029467453979077885
15,0.925,4.0,1964,92.94841457643162,118,118,118,0.0015932261900450384,0.05305388471909672,-0.04336139264715623,-0.005493118757840052
16,0.92,4.0,1964,92.94841457643162,118,118,118,0.0015932261900450384,0.05305388471909672,-0.04336139264715623,-0.005493118757840052
17,0.915,4.0,1964,92.94841457643162,118,118,118,0.0015932261900450384,0.05305388471909672,-0.04336139264715623,-0.005493118757840052
18,0.91,4.0,1964,92.94841457643162,118,118,118,0.0015932261900450384,0.05305388471909672,-0.04336139264715623,-0.005493118757840052
19,0.905,4.0,1964,92.94841457643162,118,118,118,0.0015932261900450384,0.05305388471909672,-0.04336139264715623,-0.005493118757840052
20,0.9,4.0,1964,92.94841457643162,118,118,118,0.0015932261900450384,0.05305388471909672,-0.04336139264715623,-0.005493118757840052
21,0.895,4.0,1964,92.94841457643162,118,118,118,0.0015932261900450384,0.05305388471909672,-0.04336139264715623,-0.005493118757840052
22,0.89,4.0,1964,92.94841457643162,118,118,118,0.0015932261900450384,0.05305388471909672,-0.04336139264715623,-0.005493118757840052
